127.0.0.1, 2014-10-16 14:14:11, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-10-16 14:14:11, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-10-16 14:14:11, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 14:14:27, GET, /examples/default/who, HTTP/1.1, 200, 0.028000
127.0.0.1, 2014-10-16 14:20:57, POST, /tatserver/default/display, HTTP/1.1, 500, 0.054000
127.0.0.1, 2014-10-16 14:20:59, GET, /admin/default/ticket/tatserver/127.0.0.1.2014-10-16.14-20-57.50e02a75-28d7-410d-9e54-cfe9b9d960c6, HTTP/1.1, 200, 0.087000
127.0.0.1, 2014-10-16 14:21:13, POST, /tatserver/default/display, HTTP/1.1, 200, 0.040000
127.0.0.1, 2014-10-16 14:21:13, GET, /tatserver/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:21:13, GET, /tatserver/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 14:21:13, GET, /tatserver/static/css/web2py.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:21:13, GET, /tatserver/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 14:21:13, GET, /tatserver/static/js/jquery.js, HTTP/1.1, 304, 0.002000
, 0.002000
127.0.0.1, 2014-10-16 14:21:13, GET, /tatserver/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 14:21:13, GET, /tatserver/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 14:21:13, GET, /tatserver/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-10-16 14:21:13, GET, /tatserver/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:21:13, GET, /tatserver/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:21:14, GET, /tatserver/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 14:21:14, GET, /tatserver/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:21:14, GET, /tatserver/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 14:21:14, GET, /tatserver/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:23:06, GET, /examples/default/download, HTTP/1.1, 200, 0.030000
127.0.0.1, 2014-10-16 14:23:06, GET, /examples/static/css/artwork.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-10-16 14:23:06, GET, /examples/static/images/logo_lb.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-10-16 14:23:06, GET, /examples/static/images/logo_db.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 14:23:06, GET, /examples/static/images/logo_bw.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 14:23:06, GET, /examples/static/images/Stickers1.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 14:23:06, GET, /examples/static/images/Stickers2.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 14:23:06, GET, /examples/static/images/Stickers3.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 14:23:06, GET, /examples/static/images/Stickers6.png, HTTP/1.1, 200, 0.029000
127.0.0.1, 2014-10-16 14:23:06, GET, /examples/static/images/Stickers7.png, HTTP/1.1, 200, 0.028000
127.0.0.1, 2014-10-16 14:23:06, GET, /examples/static/images/Stickers5.png, HTTP/1.1, 200, 0.116000
127.0.0.1, 2014-10-16 14:23:06, GET, /examples/static/images/Stickers4.png, HTTP/1.1, 200, 0.116000
127.0.0.1, 2014-10-16 14:23:07, GET, /examples/static/images/Stickers8.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 14:35:42, POST, /tatserver/default/display, HTTP/1.1, 200, 0.041000
127.0.0.1, 2014-10-16 14:35:53, POST, /tatserver/default/display, HTTP/1.1, 200, 0.044000
127.0.0.1, 2014-10-16 14:35:53, GET, /tatserver/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:35:53, GET, /tatserver/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:35:53, GET, /tatserver/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:35:53, GET, /tatserver/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 14:35:53, GET, /tatserver/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:35:53, GET, /tatserver/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 14:35:53, GET, /tatserver/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 14:35:53, GET, /tatserver/static/css/web2py.css, HTTP/1.1, 304, 0.006000
127.0.0.1, 2014-10-16 14:35:53, GET, /tatserver/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:35:53, GET, /tatserver/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:35:53, GET, /tatserver/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:35:53, GET, /tatserver/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:35:53, GET, /tatserver/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 14:35:53, GET, /tatserver/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 14:35:53, GET, /tatserver/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 14:37:09, POST, /tatserver/default/display, HTTP/1.1, 200, 0.032000
127.0.0.1, 2014-10-16 14:37:09, GET, /tatserver/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 14:37:09, GET, /tatserver/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.006000
127.0.0.1, 2014-10-16 14:37:09, GET, /tatserver/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:37:09, GET, /tatserver/static/css/web2py.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:37:09, GET, /tatserver/static/css/calendar.css, HTTP/1.1, 304, 0.050000
127.0.0.1, 2014-10-16 14:37:09, GET, /tatserver/static/js/calendar.js, HTTP/1.1, 304, 0.049000
127.0.0.1, 2014-10-16 14:37:09, GET, /tatserver/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2014-10-16 14:37:09, GET, /tatserver/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2014-10-16 14:37:09, GET, /tatserver/static/js/web2py.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2014-10-16 14:37:09, GET, /tatserver/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 14:37:09, GET, /tatserver/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 14:37:09, GET, /tatserver/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 14:37:09, GET, /tatserver/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 14:37:09, GET, /tatserver/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 14:37:09, GET, /tatserver/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:37:26, POST, /tatserver/default/display, HTTP/1.1, 200, 0.039000
127.0.0.1, 2014-10-16 14:37:26, GET, /tatserver/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 14:37:26, GET, /tatserver/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 14:37:26, GET, /tatserver/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 14:37:26, GET, /tatserver/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:37:26, GET, /tatserver/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 14:37:26, GET, /tatserver/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 14:37:26, GET, /tatserver/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-10-16 14:37:26, GET, /tatserver/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-10-16 14:37:26, GET, /tatserver/static/css/web2py.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 14:37:26, GET, /tatserver/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 14:37:26, GET, /tatserver/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.002000
